ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT_NEXT_MONTH
3080,80000,female,high school,married,33,pay duly,pay duly,use of revolving credit,pay duly,pay duly,no consumption,325,107,1107,1338,0,0,107,1000,1338,0,0,1080,n
3081,50000,female,high school,married,32,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,42740,44744,47539,17360,17928,19619,3000,4000,1000,1000,2000,1000,n
3082,280000,female,university,married,36,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,101803,100836,96333,97475,100652,1823,5005,7066,10000,5000,1823,4225,n
3083,70000,female,graduate school,single,29,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,43462,41845,40476,43687,43858,48127,3000,3000,7000,10000,15000,1000,n
3084,400000,male,graduate school,single,36,pay duly,pay duly,pay duly,pay duly,pay duly,no consumption,6233,11152,-1,376,0,0,11219,0,377,0,0,1759,n
3085,210000,female,high school,married,45,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,430,430,430,430,430,430,430,430,430,430,430,10798,n
3086,80000,male,high school,single,33,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,55424,56598,57724,58892,61991,63224,2068,2081,2113,5000,2264,2342,n
3087,30000,female,university,single,24,2 month delay,2 month delay,7 month delay,7 month delay,7 month delay,7 month delay,300,300,300,300,300,300,0,0,0,0,0,0,n
3088,310000,male,university,single,29,2 month delay,2 month delay,2 month delay,pay duly,2 month delay,pay duly,400,400,400,20334,19050,21573,0,0,20334,0,21573,0,n
3089,360000,female,high school,single,27,1 month delay,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,n
3090,200000,male,university,single,28,pay duly,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,pay duly,29804,30892,25355,21666,15404,11559,20044,10198,15083,15450,11593,18784,n
3091,50000,male,university,married,33,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,50431,45619,33610,19221,18925,19608,1823,1500,1000,1000,1000,1000,n
3092,320000,female,university,married,41,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,49846,53811,38717,35409,35036,35939,5000,2000,2000,3000,3000,1500,n
3093,60000,male,university,single,27,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,2 month delay,use of revolving credit,23439,26042,29182,29906,29292,29729,3300,3900,1500,0,1074,1200,n
3094,230000,female,graduate school,single,30,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,216409,221419,224753,228022,232724,260472,10000,8500,8500,8500,32000,200,n
3095,150000,female,graduate school,married,44,pay duly,pay duly,pay duly,no consumption,no consumption,no consumption,1843,1367,0,0,0,0,1367,0,0,0,0,0,y
3096,360000,female,graduate school,married,39,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,165,853,165,300,0,1790,853,165,300,0,1790,0,n
3097,50000,male,graduate school,single,34,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,20613,28018,22744,18484,16378,13352,10000,10000,1500,3000,2803,5000,n
3098,280000,female,graduate school,married,37,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,3915,6686,3719,11013,21011,29459,6691,85,11045,21012,29460,10284,n
3099,50000,female,high school,married,50,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,38499,39216,15554,8704,8904,4687,1743,1021,200,200,100,0,n
3100,500000,male,graduate school,married,32,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,15491,22984,20700,19805,23802,23085,12992,2009,5000,5000,2000,7000,n
3101,400000,female,high school,married,41,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,18487,12366,13010,12620,17945,20030,2620,1000,0,13945,7116,1280,y
3102,280000,male,university,single,28,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,1799,1768,1848,-8,1601,-3,1782,1857,0,1609,3,1077,n
3103,360000,female,university,single,41,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,158277,203726,293675,196475,2475,0,50000,100000,0,0,0,0,n
3104,260000,female,graduate school,single,29,1 month delay,pay duly,use of revolving credit,pay duly,pay duly,pay duly,15502,16832,16832,16332,16332,-334,18000,16666,16666,16666,0,17000,y
3105,330000,male,graduate school,married,42,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,241191,114291,113296,35048,36491,37252,10000,5449,5000,2000,2000,5000,n
3106,350000,female,university,married,33,no consumption,no consumption,pay duly,use of revolving credit,use of revolving credit,use of revolving credit,-7438,144562,147437,135043,137980,138908,152000,6000,5000,4000,4017,5000,n
3107,500000,female,university,married,39,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,36550,18752,22376,39018,4233,397,18795,22398,39041,4233,397,28337,n
3108,440000,female,graduate school,married,35,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,128808,133340,133075,109705,111202,116169,10000,5000,5000,7126,10000,10000,n
3109,260000,male,university,single,28,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,234867,237497,215343,205576,207688,198955,10500,9150,7500,8000,7500,7100,n
3110,500000,male,high school,married,48,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,pay duly,36875,26031,32389,32830,17191,72198,1192,32382,2011,0,72198,10000,n
3111,100000,male,university,married,35,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,81415,80759,79755,81209,60720,74375,4000,3000,3004,2278,15000,3000,n
3112,70000,male,high school,married,47,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,67670,62529,59024,26008,28210,18296,2730,2490,1000,5746,2000,143,n
3113,440000,male,graduate school,single,43,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,58108,51013,48337,49532,53714,56818,2400,3000,2000,5000,4000,4000,n
3114,220000,female,graduate school,married,44,pay duly,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,208858,212640,216062,209288,202578,195567,7611,7484,7109,6969,6661,6426,n
3115,160000,female,graduate school,married,32,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,3189,3203,3421,2750,2750,5224,3248,3421,2750,2750,5224,2313,n
3116,200000,male,university,married,46,pay duly,2 month delay,pay duly,pay duly,2 month delay,pay duly,7340,5980,4486,9790,4944,4696,0,4486,10000,0,4696,4696,n
3117,30000,female,university,single,25,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,24458,29022,28230,22204,21954,22606,5000,1518,529,535,750,347,n
3118,110000,female,graduate school,single,27,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,113461,112026,111792,111936,112030,111975,4251,4218,4167,4238,4181,4246,n
3119,60000,female,university,married,43,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,57033,58994,59732,36914,37684,38613,2880,2473,1322,1366,1554,1369,n
3120,260000,male,graduate school,single,28,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,76996,11515,13392,22209,54807,62534,11515,13419,22209,54807,62534,37935,n
3121,110000,male,university,married,36,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,109361,102505,103834,76491,77245,78049,3940,3256,2696,2780,2900,3000,n
3122,260000,male,high school,married,44,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,257987,260104,253488,145630,148720,139633,7100,135546,4500,4590,4501,4795,n
3123,280000,female,graduate school,single,32,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,157480,155362,156387,159584,163009,161769,6400,6100,5600,5805,7007,5400,n
3124,210000,male,graduate school,single,30,pay duly,pay duly,pay duly,use of revolving credit,pay duly,pay duly,462,562,1864,932,932,1014,1032,2234,0,932,1014,1000,n
3125,80000,female,university,married,37,use of revolving credit,pay duly,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,5744,33115,34131,34809,35539,36271,33115,1568,1246,1291,1324,728,n
3126,200000,female,graduate school,single,37,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,75360,57589,54711,44396,25948,14505,2050,15000,6003,845,290,12715,n
3127,100000,female,university,single,33,2 month delay,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,74763,73010,74198,74964,76655,78328,0,3000,2000,2000,2000,2000,n
3128,210000,male,university,married,42,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,9377,9534,9850,9905,8540,8785,9540,9856,9905,8540,8785,3080,n
3129,140000,female,university,single,35,1 month delay,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,148305,141907,141940,113028,112667,112318,0,7000,3923,4000,4100,4788,n
3130,180000,male,graduate school,single,29,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,2 month delay,93962,95955,98354,105327,107500,105614,3500,4000,8600,4000,0,8100,n
3131,240000,female,university,single,34,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,122810,114408,97395,83314,73292,59270,10066,7255,3035,3030,3018,2012,n
3132,150000,female,graduate school,single,24,pay duly,pay duly,pay duly,use of revolving credit,use of revolving credit,pay duly,4857,1729,49200,50000,0,50000,1733,49200,1000,0,50000,0,n
3133,80000,male,university,married,54,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,105365,108702,108486,94119,18809,40619,5030,2698,2172,376,40619,25311,y
3134,210000,female,university,married,37,use of revolving credit,use of revolving credit,no consumption,no consumption,no consumption,no consumption,22908,32513,6192,2885,8419,2810,32513,9,8,8444,3118,0,y
3135,180000,female,graduate school,single,28,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,12595,18704,24410,29184,7325,326,7000,7000,7000,5000,326,7276,n
3136,100000,female,graduate school,single,26,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,96353,99710,102093,97701,99322,98787,4900,5000,4000,3800,3710,4100,n
3137,20000,male,graduate school,single,28,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,17359,16828,17723,18733,12249,19910,2700,4150,1500,577,8000,300,n
3138,140000,male,university,single,34,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,128312,119084,62922,60196,58935,58654,5000,2200,2300,2300,2100,2000,n
3139,200000,male,high school,single,40,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,390,1799,390,390,418,1604,1799,390,390,418,1604,0,n
3140,80000,male,university,single,25,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,77142,45209,46410,43053,44387,43780,2000,2000,2000,2000,2000,2000,n
3141,20000,female,university,single,49,1 month delay,2 month delay,2 month delay,2 month delay,use of revolving credit,use of revolving credit,18718,18132,19530,18950,16510,19386,0,3000,0,1000,3000,2000,y
3142,80000,female,university,single,24,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,400,n
3143,170000,female,graduate school,married,41,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,165602,138507,136176,61000,59477,44218,80000,4742,2022,2076,1776,10433,n
3144,70000,female,university,married,41,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,50241,51145,50022,53390,54579,55722,2000,0,4200,2200,2200,2200,y
3145,90000,female,high school,married,40,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,3569,7319,7608,1720,45000,0,7385,7608,1720,45000,15000,1543,n
3146,30000,male,university,single,30,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,22221,23248,24260,24743,25261,25763,1391,1403,886,917,922,955,n
3147,50000,male,graduate school,single,25,pay duly,pay duly,pay duly,pay duly,pay duly,no consumption,2543,14335,566,5243,0,0,14439,566,5243,0,0,1380,n
3148,50000,female,university,single,21,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,390,1499,780,797,1166,0,1499,780,797,1166,0,0,y
3149,260000,female,graduate school,single,39,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,231024,208119,213219,202106,208890,215455,10000,10000,8000,10000,10000,20000,n
3150,360000,female,graduate school,married,33,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,50067,17607,41262,8882,17348,29216,17607,41285,8882,17348,29216,4043,n
3151,500000,female,high school,single,52,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,y
3152,160000,male,high school,married,46,2 month delay,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,168501,160421,157661,73322,57835,41842,0,6322,2275,2343,3069,77005,n
3153,460000,female,graduate school,single,39,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,89095,93634,111899,199682,177073,175979,6000,20000,90000,9000,10000,10000,n
3154,20000,female,university,single,26,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,19366,19297,20023,19625,15188,0,1800,1500,500,500,0,0,y
3155,360000,male,university,single,25,1 month delay,pay duly,2 month delay,use of revolving credit,pay duly,pay duly,0,1647,1488,490,1697,789,1647,5,2,1705,792,0,n
3156,300000,female,graduate school,married,38,pay duly,pay duly,pay duly,no consumption,no consumption,no consumption,1008,228,0,0,0,0,228,0,0,888,0,0,n
3157,70000,female,university,married,28,1 month delay,3 month delay,2 month delay,2 month delay,2 month delay,use of revolving credit,29836,30856,30658,31850,31207,32037,1800,600,2000,0,1500,1500,y
3158,50000,female,graduate school,single,26,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,26808,44361,32088,20100,15117,18501,30040,2037,592,5003,5012,2023,n
3159,150000,female,high school,married,51,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,113647,117322,119935,124913,128108,131382,5001,4000,6006,5000,5008,0,n
3160,390000,male,university,married,42,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,1565,1733,2472,2626,989,4647,1733,2492,2637,992,4667,277,n
3161,280000,male,graduate school,single,37,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,251486,245307,218043,196016,195307,168946,9352,8077,7171,8014,6235,4445,n
3162,50000,female,high school,married,28,use of revolving credit,use of revolving credit,pay duly,pay duly,pay duly,pay duly,3377,4256,4207,694,238,0,1000,4207,694,238,0,0,n
3163,280000,female,graduate school,single,38,1 month delay,no consumption,pay duly,pay duly,pay duly,pay duly,0,0,3898,1460,18901,0,0,3898,1460,18901,0,0,y
3164,50000,female,university,married,41,1 month delay,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,n
3165,50000,male,graduate school,single,32,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,use of revolving credit,13185,5070,6815,6068,7798,8511,1255,2000,0,2000,1000,500,n
3166,150000,female,graduate school,single,28,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,n
3167,120000,female,graduate school,single,31,1 month delay,pay duly,pay duly,use of revolving credit,pay duly,pay duly,0,1730,2457,2192,2655,0,1730,2459,0,2655,0,0,y
3168,360000,female,university,divorced,37,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,pay duly,pay duly,10764,8874,3501,328,0,770,1052,1002,328,0,770,11309,n
3169,20000,male,university,single,33,pay duly,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,3010,1603,19980,19983,20066,19855,1272,19288,681,917,1000,889,n
3170,50000,female,high school,married,46,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,no consumption,no consumption,48797,49115,47991,0,0,0,2000,1018,0,0,0,0,n
3171,20000,female,graduate school,single,23,1 month delay,2 month delay,2 month delay,2 month delay,use of revolving credit,use of revolving credit,10407,10096,11926,11440,12596,13533,0,2000,0,1500,1300,0,y
3172,90000,male,university,married,35,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,90467,88834,89791,53096,52340,27660,4000,5000,3100,1700,1421,319,y
3173,230000,male,university,married,35,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,176853,180639,180117,179717,124117,182717,10000,5000,0,5000,189600,10000,n
3174,20000,male,university,single,22,pay duly,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,17990,17413,18608,19138,20690,20174,0,1502,822,2000,0,220,n
3175,100000,female,university,single,23,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,45756,9187,5408,12920,9656,4737,9187,5408,12920,9656,4737,4513,n
3176,270000,male,university,single,26,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,214277,199757,198551,201945,203636,205104,10000,7500,8000,7409,7869,10035,n
3177,160000,male,university,single,28,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,1390,550,550,550,550,550,550,550,550,550,550,550,n
3178,80000,female,university,single,29,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,46724,35074,32812,25930,26414,27128,2000,2000,1100,1000,1100,1000,n
3179,10000,male,graduate school,single,24,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,7554,8287,9580,9267,10096,9415,1500,2000,700,1500,0,1000,y
3180,500000,female,university,married,27,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,11354,9983,13570,10000,10000,10000,9983,13587,10000,10000,10000,25304,n
3181,90000,female,graduate school,married,43,pay duly,pay duly,2 month delay,pay duly,pay duly,pay duly,16139,7199,4367,7660,21175,4009,4367,9,7660,21175,4009,7452,n
3182,150000,female,high school,married,59,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,11067,12367,10557,9974,11507,1926,12405,10557,9974,11507,1926,5512,n
3183,50000,male,high school,married,49,use of revolving credit,pay duly,pay duly,pay duly,use of revolving credit,use of revolving credit,2522,1173,-88,2912,390,390,1173,0,3000,0,0,780,n
3184,260000,male,high school,married,48,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,use of revolving credit,200716,203751,205530,-170000,171696,174151,8812,9158,0,497000,10000,7000,n
3185,50000,female,university,single,22,no consumption,pay duly,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,836,10214,10057,9221,8808,3861,10214,2000,0,423,3861,3665,n
3186,30000,male,graduate school,single,28,pay duly,2 month delay,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,1190,2107,1098,1098,1248,982,1098,0,0,982,150,0,y
3187,70000,male,university,single,26,2 month delay,2 month delay,2 month delay,2 month delay,use of revolving credit,use of revolving credit,46599,45578,48505,47427,48447,45145,0,4000,0,2000,1700,3000,n
3188,360000,male,graduate school,married,52,1 month delay,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,y
3189,430000,female,graduate school,single,39,no consumption,pay duly,pay duly,pay duly,pay duly,pay duly,673,4549,7566,987,4870,975,4576,7642,990,4889,981,317,n
3190,50000,female,university,single,23,pay duly,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,1291,2075,2895,2698,2500,2296,1100,1181,300,300,300,250,n
3191,150000,female,other,single,26,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,22683,24349,2130,2130,32,-780,2219,0,0,0,0,0,n
3192,70000,female,university,single,23,1 month delay,2 month delay,use of revolving credit,use of revolving credit,2 month delay,2 month delay,17461,16892,18013,19315,19859,19390,0,1400,1600,1000,0,1000,y
3193,150000,female,graduate school,single,25,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,42437,35082,19538,13277,3200,0,2265,2538,277,200,0,0,n
3194,110000,male,high school,married,38,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,14084,11129,9316,7681,8897,11729,2500,2500,1000,1500,3000,500,n
3195,20000,female,graduate school,single,38,pay duly,use of revolving credit,use of revolving credit,3 month delay,2 month delay,2 month delay,3527,4556,5867,5495,5126,5899,1241,1700,0,0,1000,0,y
3196,20000,male,high school,single,39,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,2 month delay,2 month delay,7824,9000,9867,11929,12091,12245,1307,1174,2236,500,500,0,n
3197,50000,male,graduate school,single,31,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,11479,12002,3508,339,1655,679,12002,3508,339,1655,679,1600,n
3198,10000,male,graduate school,single,33,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,8417,6281,8567,10046,10063,10132,1700,4700,2502,1500,3000,0,n
3199,20000,male,university,single,24,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,15703,19775,19096,19612,20164,19771,4663,0,1000,1000,5000,0,n
3200,180000,male,university,single,34,1 month delay,no consumption,no consumption,no consumption,no consumption,no consumption,149172,100466,98458,89384,88315,84320,4600,4207,3500,4000,5000,602,y
3201,60000,female,university,married,26,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,use of revolving credit,use of revolving credit,60597,61332,58787,58472,57777,60985,5504,0,2304,2261,4600,2100,y
3202,20000,male,graduate school,married,30,1 month delay,2 month delay,2 month delay,2 month delay,2 month delay,use of revolving credit,6885,8627,8340,10044,9739,10571,2000,0,1855,0,1000,397,y
3203,70000,female,graduate school,single,25,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,71106,67954,68976,49145,49688,47780,3292,3290,1706,1759,1729,1717,n
3204,60000,female,university,married,38,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,48399,48241,36162,36560,40855,885,1764,1400,5000,5000,885,1721,n
3205,200000,male,graduate school,single,28,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,3330,2665,115323,21547,4056,3180,2686,115916,21722,4076,3196,17660,n
3206,200000,male,graduate school,single,34,1 month delay,no consumption,pay duly,use of revolving credit,use of revolving credit,no consumption,-1730,-1730,1111,1111,-29,-3789,0,3000,0,0,0,0,y
3207,300000,female,graduate school,married,37,pay duly,pay duly,use of revolving credit,pay duly,pay duly,pay duly,3144,5688,2297,3115,3172,1589,5734,2018,3138,3187,1597,2394,n
3208,390000,male,graduate school,single,34,pay duly,pay duly,pay duly,pay duly,pay duly,pay duly,13006,522,1790,7957,3044,27603,524,1790,7957,3044,27603,11219,n
3209,80000,female,university,married,23,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,72364,64105,45867,29713,30270,27912,2756,1366,1000,1023,1093,700,n
3210,100000,female,graduate school,single,25,pay duly,pay duly,pay duly,pay duly,use of revolving credit,use of revolving credit,12660,5000,0,6272,10135,11958,5000,0,6272,4000,2000,0,n
3211,230000,male,high school,single,30,1 month delay,2 month delay,2 month delay,3 month delay,2 month delay,2 month delay,213894,218966,238075,233210,233833,190628,10040,28341,0,6508,187,5000,n
3212,40000,female,high school,married,49,1 month delay,no consumption,no consumption,no consumption,no consumption,pay duly,0,0,0,0,0,150,0,0,0,0,150,159,n
3213,180000,female,university,married,25,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,pay duly,33322,29500,28418,16084,14210,711,1900,1864,600,600,711,2576,n
3214,420000,male,university,single,28,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,22872,23309,24612,25400,26333,27887,1700,2000,1500,1500,2000,1567,n
3215,20000,male,university,married,59,use of revolving credit,use of revolving credit,pay duly,pay duly,pay duly,pay duly,2946,0,1473,240,390,1320,0,1473,240,540,1320,0,n
3216,340000,female,university,married,31,pay duly,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,33639,37373,40990,42415,38367,37940,5000,5000,3000,2000,2000,3000,n
3217,20000,female,graduate school,single,25,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,2 month delay,9317,18576,18219,17095,19748,18722,10000,800,0,3500,0,1000,y
3218,320000,male,high school,single,52,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,31858,33562,35119,36886,38756,40543,5000,5000,5000,5000,5000,5000,n
3219,360000,male,graduate school,married,39,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,0,0,0,0,0,0,0,0,0,0,0,0,n
3220,100000,female,graduate school,single,29,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,33330,36282,38673,43014,48300,57497,3500,3000,5000,6000,10000,0,n
3221,310000,female,graduate school,single,36,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,0,298887,0,0,0,0,298887,0,0,0,0,199417,n
3222,140000,female,university,single,24,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,35806,36823,36285,36683,37150,41210,3000,1580,1294,1355,5000,5000,n
3223,200000,male,university,single,33,1 month delay,2 month delay,2 month delay,2 month delay,use of revolving credit,use of revolving credit,98990,96566,103019,100464,102844,105505,0,9000,0,4000,4500,4000,n
3224,30000,female,university,single,28,pay duly,pay duly,no consumption,pay duly,pay duly,no consumption,1743,0,0,2779,0,0,0,0,2779,0,0,0,y
3225,130000,female,high school,married,25,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,132110,133734,129299,131871,132168,129779,6359,4505,4530,4798,4600,4655,n
3226,20000,female,high school,married,44,use of revolving credit,use of revolving credit,2 month delay,use of revolving credit,use of revolving credit,no consumption,17095,19112,17980,18780,0,0,3000,0,1000,1000,0,0,n
3227,120000,female,other,married,57,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,116497,109247,98109,74387,75237,78967,5000,5007,5000,5000,5000,5000,n
3228,190000,female,graduate school,single,32,no consumption,no consumption,no consumption,no consumption,no consumption,no consumption,8010,922,3200,15010,4575,7279,922,3208,15010,4575,7279,0,n
3229,50000,female,university,married,26,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,43721,42060,42332,37872,35748,33631,2228,2500,1660,1457,1300,1340,n
3230,130000,female,other,single,27,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,use of revolving credit,107599,109902,112635,114472,117556,116090,4030,4600,4200,5000,5000,21932,n
