"X","ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6"
3966,3966,210000,"female","university","married",33,137009,121126,NA,96329,84224,81570,20000,15011,10000,10000,5000,10001,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
3967,3967,60000,"female","university","single",25,44331,48590,59129,NA,56225,54759,5000,12000,0,0,0,0,0,"use_revolv_credit","use_revolv_credit",NA,"6_month_delay","5_month_delay","4_month_delay"
3968,3968,NA,"male","university","married",53,12291,14295,9714,9047,8983,9289,3300,1000,0,1000,1000,1423,0,"use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit"
3969,3969,50000,"female",NA,"single",26,0,1950,2576,12576,22397,15944,1950,2576,10000,NA,685,612,0,"1_month_delay","pay_duly",NA,"use_revolv_credit",NA,"use_revolv_credit"
NA,3970,90000,"female","university","single",26,21854,23036,24100,25000,25000,26254,1536,1600,1500,0,1254,NA,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
3971,3971,250000,"male","graduate","married",31,3759,17694,14505,4757,11357,6679,NA,14548,4771,11491,6896,890,0,"no_util","no_util","pay_duly","pay_duly","pay_duly","pay_duly"
3972,3972,290000,"male","highschool","married",47,255412,217382,250549,31370,-4020,107239,5130,4647,949,NA,146216,NA,1,"2_month_delay","use_revolv_credit",NA,NA,"use_revolv_credit","pay_duly"
3973,3973,NA,"male","university","single",35,8602,NA,643,11455,1326,663,18718,646,11478,1329,3,1322,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly",NA
3974,3974,360000,"male","graduate","single",29,1360,7995,-7,3651,2085,1102,8035,0,3658,10,1107,NA,0,"pay_duly","pay_duly","pay_duly","pay_duly","use_revolv_credit","pay_duly"
3975,3975,340000,"male","graduate","single",36,11951,NA,20391,22104,26361,34333,5000,5012,5000,5006,10010,10000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
3976,3976,290000,"female","graduate","single",48,74864,36317,34491,29657,9134,2383,1411,1200,593,200,5637,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly"
3977,3977,50000,"female","university","single",25,48690,49347,16002,6120,3910,NA,1692,1033,122,78,299,9292,NA,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"pay_duly"
3978,3978,310000,"female","university","married",41,530,7233,4158,8408,542,2314,7233,4318,8408,542,2314,648,0,NA,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
NA,3979,NA,"male","university","single",22,NA,7926,9310,9500,9700,10000,1216,2800,190,NA,300,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
3980,3980,260000,"female","graduate","single",31,181679,187642,190152,186696,188632,190948,8900,7200,6800,7100,7200,6500,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
3981,NA,180000,"female",NA,"single",26,71702,66234,57253,53736,46213,39701,NA,2200,2000,NA,2000,2300,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
3982,3982,20000,"male","highschool","single",26,NA,780,0,0,0,0,1560,0,NA,0,NA,0,0,"pay_duly","pay_duly","pay_duly","no_util","no_util","no_util"
3983,3983,NA,NA,NA,"single",28,2400,2500,0,0,0,0,2500,0,0,0,0,0,0,"no_util","no_util","no_util","no_util","no_util","no_util"
NA,3984,80000,"female","graduate","married",30,65622,67265,67382,51958,NA,54235,3300,2100,2000,NA,0,3000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","2_month_delay"
3985,3985,450000,"female","university","married",44,10716,12254,12815,17782,NA,8490,8000,5000,7000,3000,2000,1626,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
3986,3986,30000,"female","university",NA,22,30190,28985,28724,29357,30188,26316,1532,2169,1000,1200,2000,1500,1,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
3987,NA,500000,"male","graduate","married",39,26501,21340,11003,1848,1116,927,NA,NA,46,NA,947,201323,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","pay_duly","pay_duly"
3988,3988,210000,"female","graduate","married",34,NA,NA,153238,156384,160056,163188,5500,5510,5500,6000,6000,6000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
NA,3989,300000,"male","highschool","single",64,1068,1168,NA,NA,1610,NA,1168,1005,1372,1610,1355,NA,0,NA,"pay_duly",NA,"pay_duly","pay_duly","pay_duly"
3990,3990,100000,"male","other","married",52,90939,83090,63145,56962,52385,22543,3467,2000,1476,4992,808,1000,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
3991,3991,240000,"male","graduate",NA,47,138103,134976,137251,NA,147604,145071,500,6000,11000,5600,0,NA,1,"1_month_delay","2_month_delay","2_month_delay","2_month_delay",NA,"2_month_delay"
NA,3992,50000,"female","university","single",56,30121,31295,NA,18900,0,3900,2295,19100,0,0,3900,0,0,"use_revolv_credit","use_revolv_credit","pay_duly","use_revolv_credit","use_revolv_credit","pay_duly"
NA,3993,20000,"male","university","single",22,17710,17137,19830,19240,18419,20126,0,3000,0,0,2000,0,1,"3_month_delay","2_month_delay","2_month_delay","3_month_delay","2_month_delay","2_month_delay"
3994,3994,NA,"female","university","single",23,1877,2507,1320,1270,63697,51866,1000,1000,100,63697,NA,2050,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
3995,3995,200000,"male","graduate","divorce",43,9873,-709,10291,0,NA,291,NA,11000,0,873,0,291,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","use_revolv_credit"
3996,NA,220000,"male",NA,"single",33,-117,487,2879,4483,6087,-273,1000,3000,2000,2000,0,2000,0,NA,"pay_duly","pay_duly","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,NA,NA,"female",NA,"single",43,9784,11578,7384,13479,6734,6801,2303,2095,NA,1000,500,500,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
3998,3998,60000,"male","university","single",26,40171,37274,30203,30809,33323,33190,1491,2000,1092,3000,NA,2000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
3999,3999,20000,"female","graduate","single",23,9736,12759,12459,12957,13104,12744,3500,200,1000,500,0,1000,1,NA,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
4000,NA,170000,NA,"university","single",39,2429,8054,4380,316,6131,NA,8077,4380,0,6131,0,NA,1,"pay_duly","pay_duly","pay_duly","use_revolv_credit",NA,"2_month_delay"
NA,4001,30000,"female","graduate","single",NA,2030,1533,3897,6978,4081,3686,1533,3897,4081,0,155,96,0,"2_month_delay",NA,"pay_duly","pay_duly","2_month_delay","use_revolv_credit"
4002,4002,160000,"female","graduate","married",29,NA,0,NA,150,150,989,0,0,150,150,989,0,1,"pay_duly","pay_duly","no_util","pay_duly","pay_duly","pay_duly"
4003,4003,200000,"male","graduate","married",35,199891,198608,115177,116226,139737,187728,8500,6000,NA,25000,NA,70000,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4004,4004,NA,"male","highschool","single",25,81129,NA,NA,18334,7382,19801,7504,29,10004,6,19824,18129,0,"use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit",NA,"pay_duly"
4005,4005,230000,"female","graduate","married",38,12907,316,1156,316,316,NA,316,1156,316,316,316,316,0,"use_revolv_credit","pay_duly",NA,"pay_duly","pay_duly",NA
4006,NA,20000,"female","highschool","married",42,10665,637,11869,7312,1868,1470,637,11869,7314,NA,1470,2200,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
4007,NA,NA,"male","highschool","single",46,1050,1050,1050,1050,1050,1050,NA,0,0,0,0,0,1,"2_month_delay",NA,"3_month_delay","3_month_delay","3_month_delay","3_month_delay"
4008,4008,100000,"female","highschool","single",24,0,0,0,0,2483,0,0,0,0,2483,0,80,0,"1_month_delay",NA,"no_util",NA,"pay_duly","pay_duly"
NA,NA,130000,"female","university","single",24,0,0,0,0,0,0,0,0,0,0,0,0,0,"1_month_delay","no_util","no_util","no_util","no_util","no_util"
4010,4010,50000,"male","university","single",47,91481,NA,47486,24769,23029,23495,3956,1365,848,1000,1000,1000,0,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
NA,4011,140000,"female","highschool","single",31,92636,94641,NA,98883,79972,81642,3500,3600,3900,3000,3000,3200,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4012,4012,50000,"male","university","single",49,47864,99572,50396,9430,9638,9801,NA,2294,328,350,323,312,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4013,4013,360000,"male","graduate","single",29,NA,2347,3770,3466,1630,2931,2358,NA,3483,1638,NA,16950,0,"no_util","no_util","no_util","no_util","no_util","no_util"
4014,4014,20000,"female","university","single",22,19529,NA,18335,19530,19076,20444,0,NA,1500,0,1700,0,1,"4_month_delay","3_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
4015,4015,110000,"female",NA,"single",33,107028,106818,108730,112035,NA,43413,4000,NA,6488,4850,2000,6446,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4016,4016,100000,"male","university","single",33,90822,88562,NA,87150,85636,91007,0,0,3200,0,6803,6950,1,"5_month_delay","4_month_delay",NA,"2_month_delay","2_month_delay","2_month_delay"
4017,4017,260000,"female","graduate","married",39,256557,188370,186778,184132,NA,89016,NA,6637,7784,10000,3500,3434,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,4018,50000,"female","graduate","single",23,46750,45985,26675,16948,16303,18019,1505,2000,592,604,NA,2000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
4019,NA,NA,"female","university","married",39,0,0,0,0,0,0,0,0,0,0,0,0,1,"1_month_delay","no_util","no_util","no_util","no_util","no_util"
4020,4020,30000,"female","university",NA,27,27896,26835,NA,NA,29184,NA,0,NA,0,2309,1087,0,1,NA,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay"
4021,4021,50000,"male","university","single",23,49798,NA,NA,9658,10011,9345,2193,2040,NA,492,332,500,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4022,4022,270000,"female","university","single",31,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"no_util","no_util","no_util",NA,"no_util","no_util"
4023,4023,250000,"female","graduate","married",44,4976,5417,7948,1797,1580,12573,5417,7948,1797,1580,12573,NA,NA,"no_util","no_util","no_util","no_util","no_util","pay_duly"
NA,NA,250000,"male","graduate","single",48,5241,2738,2360,6976,3701,2872,NA,2377,7006,11,2981,0,0,"no_util","pay_duly","pay_duly","pay_duly","use_revolv_credit","pay_duly"
4025,4025,120000,"female","university","married",24,0,0,0,0,4629,5551,0,0,0,4629,NA,1915,0,"1_month_delay","no_util",NA,"no_util","pay_duly","use_revolv_credit"
4026,NA,250000,"female","highschool","single",36,44242,58876,73068,102311,NA,88283,25000,24000,30000,25000,30000,25000,0,"pay_duly","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
4027,4027,260000,"female",NA,"single",29,1267,553,0,NA,11990,3359,553,0,NA,NA,3359,1035,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
4028,4028,NA,"male","university","married",39,234661,234364,235982,239281,244329,249130,10200,10200,8725,9068,9068,15000,0,"2_month_delay",NA,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
4029,4029,60000,"female","university",NA,27,18224,19928,20939,21291,21734,22184,2000,1648,1000,NA,962,3013,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4030,4030,250000,"female","graduate","married",NA,326,326,652,326,326,326,326,NA,NA,326,326,326,1,"pay_duly","pay_duly","pay_duly","use_revolv_credit",NA,NA
4031,4031,100000,NA,"university","single",26,98542,82569,87486,84536,76008,NA,3326,8003,2745,2689,2896,2731,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4032,NA,150000,"female","graduate","single",35,NA,1070,-240,-240,-240,390,1070,0,NA,0,1170,NA,0,"1_month_delay","pay_duly",NA,"no_util",NA,"pay_duly"
4033,4033,170000,"female","graduate","married",45,165243,156688,151405,127090,NA,126399,7067,6443,4617,4711,NA,4603,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4034,4034,710000,"female","graduate","single",32,28585,31719,34854,35774,35524,35047,3561,3696,1616,3024,5011,2011,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
4035,4035,20000,"male","university","married",50,6620,NA,8570,10020,9715,NA,1200,1300,1600,0,600,600,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","2_month_delay","use_revolv_credit"
4036,4036,360000,"female","university","single",36,83412,NA,16250,NA,12640,0,3700,1123,500,NA,0,NA,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4037,4037,150000,"female",NA,"married",60,NA,0,0,0,0,0,0,0,0,0,0,0,1,"1_month_delay","no_util","no_util","no_util",NA,"no_util"
4038,4038,150000,NA,"highschool","married",49,3114,23946,7838,7642,8009,10800,23979,7838,7642,367,10800,5068,0,"pay_duly","pay_duly","pay_duly","pay_duly","use_revolv_credit","pay_duly"
4039,4039,50000,"male","highschool","single",58,NA,7312,6959,5813,3985,3169,1140,1048,163,135,151,2000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4040,4040,140000,"female","highschool","married",38,122283,118913,120435,139795,142950,NA,0,5000,NA,5500,0,5000,0,"2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay"
4041,4041,NA,"male","graduate","married",42,-8,-8,1632,-88,NA,43978,0,1640,0,17539,44197,1758,0,"1_month_delay","no_util","pay_duly","pay_duly","pay_duly","pay_duly"
4042,4042,20000,"male","university","single",36,11423,13976,13455,15227,14699,14313,2749,NA,2000,0,0,1230,0,"use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay","3_month_delay","2_month_delay"
NA,4043,360000,"female","university","married",42,2333,NA,0,0,1070,0,NA,0,0,1070,0,0,0,"no_util","no_util",NA,"no_util","no_util","no_util"
4044,4044,160000,"female","university","married",34,2734,0,625,406,338,0,0,625,406,338,0,NA,1,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
4045,4045,180000,"female","university","married",30,27225,NA,26743,28943,30943,0,NA,1000,2200,NA,0,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4046,4046,50000,"male",NA,NA,23,28569,27693,20401,17510,18038,16145,1400,1600,NA,771,NA,305,0,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4047,4047,50000,"male","university",NA,45,19834,19387,22574,20483,20121,NA,1340,5000,0,729,793,642,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit","use_revolv_credit"
4048,4048,220000,"female","graduate","married",NA,19024,20424,19798,21468,20986,22469,2000,0,2000,0,2000,2000,1,"2_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay","use_revolv_credit"
4049,4049,150000,"male","university","married",39,76415,78836,87265,85084,93323,91783,4150,10575,0,9717,0,3300,NA,"use_revolv_credit",NA,"use_revolv_credit","2_month_delay","2_month_delay","2_month_delay"
4050,4050,160000,"male","university",NA,40,1672,2927,0,NA,0,0,2941,0,0,0,0,0,NA,"pay_duly","pay_duly","pay_duly","no_util","no_util","no_util"
4051,4051,NA,"female","highschool","single",30,1055,NA,1155,3334,1055,8824,2579,NA,3334,0,NA,1055,0,"pay_duly","pay_duly","pay_duly","pay_duly","use_revolv_credit","pay_duly"
4052,4052,200000,NA,"university","married",29,73700,73624,73928,72060,72393,72969,3304,3815,3004,3006,4012,3012,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4053,4053,190000,"male","graduate","single",32,5484,6192,4988,3440,3341,3228,2450,0,200,1000,1000,1000,0,"use_revolv_credit","use_revolv_credit","2_month_delay",NA,"use_revolv_credit","use_revolv_credit"
NA,4054,50000,NA,"university","married",32,47445,37395,9858,8536,9674,9591,1697,1118,285,299,1110,NA,1,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4055,4055,50000,"male",NA,NA,24,390,390,390,780,390,NA,NA,390,780,0,390,0,0,NA,NA,"pay_duly","pay_duly","use_revolv_credit","pay_duly"
4056,NA,140000,NA,"university","single",35,88394,90252,92775,93606,95301,96653,3280,4270,3500,3606,3500,3550,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
4057,4057,60000,"female",NA,"single",26,48867,49979,51316,54046,55036,53985,2200,2470,4200,2000,0,6200,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay"
4058,4058,10000,"female","highschool","married",24,8283,8754,9436,5856,6059,5999,1500,1246,210,298,120,0,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4059,4059,400000,"male","graduate","single",28,-1320,5773,3944,87146,90818,96316,9952,10,87170,10013,10008,20039,0,"1_month_delay","pay_duly","2_month_delay","pay_duly","use_revolv_credit","use_revolv_credit"
4060,4060,500000,"female","graduate","single",44,NA,NA,206296,354521,358009,394932,10481,12042,160042,46043,53181,15071,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit",NA
4061,4061,320000,"female",NA,"single",24,44500,51257,54659,35196,71244,35299,51334,54726,103,71404,35448,NA,0,"pay_duly","pay_duly","pay_duly","use_revolv_credit","pay_duly","pay_duly"
4062,4062,240000,"male","graduate","married",50,2115,0,0,0,0,0,0,0,0,0,0,0,0,"pay_duly","pay_duly","no_util","no_util","no_util","no_util"
4063,NA,110000,"female","highschool","married",44,128341,131227,133490,135888,137708,78581,4861,4300,NA,3500,2564,2300,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
4064,4064,240000,"male","graduate","single",29,NA,0,0,0,0,NA,0,NA,0,0,0,0,1,"1_month_delay","no_util","no_util","no_util","no_util","no_util"
4065,4065,50000,"female",NA,"single",31,NA,28902,28139,NA,35084,29983,3231,0,1026,1063,1397,6212,1,"2_month_delay","2_month_delay","2_month_delay","use_revolv_credit",NA,"use_revolv_credit"
NA,4066,100000,"female","highschool","single",46,216,964,964,365,0,0,964,0,0,0,NA,301,0,"2_month_delay","pay_duly","2_month_delay","use_revolv_credit","use_revolv_credit","no_util"
4067,4067,50000,"male","graduate","single",25,25045,15180,6964,7604,2173,NA,15522,6964,7604,2173,6586,11890,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
4068,NA,50000,"male","highschool","single",24,25437,NA,0,NA,0,0,2000,0,100,0,NA,0,1,"pay_duly","use_revolv_credit",NA,"pay_duly","pay_duly","no_util"
4069,4069,50000,"male","university","married",43,1040,4254,6955,9486,NA,12524,4254,2962,5191,0,3500,3000,1,"no_util","pay_duly",NA,NA,"2_month_delay","use_revolv_credit"
4070,NA,150000,"female","university","single",30,NA,68125,66432,73312,NA,76521,6000,NA,8023,0,NA,0,0,"use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay","2_month_delay",NA
4071,4071,NA,"female","university","married",37,4157,601,432,NA,3017,937,606,432,1602,3017,937,1275,0,"no_util","no_util","no_util","no_util","no_util","no_util"
4072,4072,80000,"female","university","single",28,47234,48147,NA,43437,NA,35501,3000,2007,1361,1512,2000,476,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
NA,4073,360000,"male","graduate","married",35,11936,21865,3366,NA,13308,7089,21983,NA,5236,NA,NA,5510,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
4074,4074,NA,"male","university","single",49,38878,39917,32048,29131,30288,30192,NA,2000,2000,3000,3000,5000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
4075,4075,NA,"male","graduate","single",28,70966,70366,66633,56055,22935,NA,5606,1050,NA,3000,3203,1000,0,"use_revolv_credit","use_revolv_credit","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4076,4076,60000,"female","university","married",34,54316,55575,NA,15450,15933,16095,2770,1275,544,3923,575,596,1,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA
4077,4077,90000,"male","university","married",37,9549,9257,11983,12065,11731,11809,0,3200,572,0,422,437,0,"1_month_delay","2_month_delay","2_month_delay","2_month_delay","2_month_delay","use_revolv_credit"
4078,4078,50000,"male","university","single",29,49747,51075,43662,18115,17300,17947,2500,14,2000,1000,1500,1500,1,NA,"2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4079,4079,240000,"male","university","married",31,1051,475,1051,671,291,671,475,1051,671,291,671,671,0,"pay_duly","pay_duly",NA,NA,NA,"pay_duly"
NA,4080,230000,"female","university","married",42,6946,120,NA,2095,129,303,500,16000,NA,7400,7500,8100,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
4081,NA,80000,"female",NA,"single",23,NA,17442,15948,17118,9883,8689,3150,2000,6000,500,304,500,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
4082,4082,400000,"female","graduate","single",NA,3299,6930,2375,1211,6661,517,6978,2387,1127,6694,519,593,0,"pay_duly","pay_duly","pay_duly","use_revolv_credit","pay_duly","pay_duly"
4083,NA,120000,NA,"graduate","married",45,117775,117106,118207,116885,123040,120546,5700,6000,5000,10000,0,4500,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay"
4084,4084,250000,"male","graduate","married",39,0,93,5354,167,908,NA,NA,5354,167,908,0,0,0,"1_month_delay","pay_duly",NA,"pay_duly","pay_duly",NA
4085,NA,30000,"female","graduate","single",24,29846,28941,NA,19005,12751,NA,0,4000,600,0,2500,419,0,"1_month_delay","2_month_delay","use_revolv_credit",NA,"2_month_delay","2_month_delay"
4086,4086,150000,"female","graduate",NA,54,152059,150510,152228,141778,142694,145622,7100,5800,5300,5200,5300,5600,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit"
4087,4087,310000,"male",NA,"single",37,207995,211176,214160,NA,227036,NA,8000,NA,10000,10000,100000,0,0,"2_month_delay","2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4088,4088,150000,"male","university","single",34,135587,138473,141297,NA,148420,150500,4000,4000,4500,5000,3500,NA,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit"
4089,4089,80000,"female","graduate","single",NA,11040,5830,4136,0,NA,150,1500,2000,0,0,150,419,0,"use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit","no_util","pay_duly"
4090,4090,200000,NA,"graduate","married",37,0,0,0,0,0,0,NA,NA,0,0,0,0,1,"1_month_delay","no_util","no_util",NA,"no_util","no_util"
4091,4091,50000,"male","university","single",24,35166,29045,15188,7582,7741,7958,1300,1106,1500,281,346,159,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4092,4092,190000,"male","university","married",23,223483,NA,182911,156432,152708,133584,11837,6070,5136,5183,5237,4396,1,"use_revolv_credit",NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4093,4093,50000,"male","university","single",33,30773,33275,41329,5392,5722,4501,4000,9000,NA,1000,0,1000,0,"2_month_delay","use_revolv_credit","use_revolv_credit","2_month_delay","2_month_delay","2_month_delay"
4094,4094,NA,"male","university","single",31,24377,25167,24541,27304,26669,26172,1400,0,3100,0,0,2000,1,"1_month_delay","2_month_delay","2_month_delay","2_month_delay","3_month_delay","2_month_delay"
4095,4095,150000,"male","graduate","married",33,144761,NA,128105,130555,133985,136151,6005,5005,NA,6005,5005,5005,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit",NA,"use_revolv_credit"
4096,4096,80000,"male","university","single",43,19260,NA,15173,10493,10313,6687,1270,1874,0,3313,0,291,0,"use_revolv_credit",NA,"use_revolv_credit","2_month_delay","2_month_delay","2_month_delay"
4097,4097,200000,"male","university","married",30,736,736,736,736,736,316,736,736,736,736,316,1156,0,"1_month_delay","no_util","no_util","no_util",NA,"no_util"
4098,4098,120000,"female","highschool","single",46,116697,108828,101417,89852,91503,89571,4200,4715,3200,3010,3772,3464,0,NA,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4099,4099,60000,"female","university","married",49,61093,57227,32091,NA,31277,29512,NA,1791,NA,0,1092,3554,1,NA,"use_revolv_credit",NA,"use_revolv_credit","2_month_delay",NA
4100,4100,450000,"female","other","married",51,144396,150396,NA,396,396,NA,6396,396,396,396,546,396,0,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
4101,4101,120000,"male","graduate","single",32,890,390,NA,1480,0,NA,NA,390,1480,0,6477,0,1,"pay_duly","pay_duly","pay_duly","pay_duly","pay_duly","pay_duly"
4102,4102,130000,NA,NA,"married",43,NA,0,0,96963,99004,101833,0,0,96963,3554,4435,3304,0,"no_util","no_util",NA,NA,"use_revolv_credit","use_revolv_credit"
4103,4103,240000,"female","graduate","single",36,5367,6959,6649,5149,13750,5777,6959,15,0,7013,0,NA,1,"pay_duly","pay_duly",NA,"use_revolv_credit",NA,"2_month_delay"
4104,4104,90000,"female","university","single",26,NA,11237,9442,5318,11928,15558,3194,8823,0,7000,6660,10000,0,"use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit","use_revolv_credit"
4105,4105,210000,"male","university","single",25,7474,8625,3511,4950,4727,NA,1500,1500,1500,0,1000,1000,1,"2_month_delay","use_revolv_credit","use_revolv_credit","use_revolv_credit","2_month_delay",NA
